sequence,eventTimeSec,eventTick,eventType,eventTaskId,eventTaskName,eventJobId,eventJobRow,eventResource
4859,3.3424,33424,start,5,Merger,168,1620,cloud_cpu_1
4860,3.3427,33427,finish,5,Merger,168,1620,cloud_cpu_1
4861,3.345,33450,release,1,Sensor,670,1621,vehicle_sensor_cpu
4862,3.345,33450,start,1,Sensor,670,1621,vehicle_sensor_cpu
4863,3.3456,33456,finish,1,Sensor,670,1621,vehicle_sensor_cpu
4864,3.35,33500,release,1,Sensor,671,1622,vehicle_sensor_cpu
4865,3.35,33500,release,2,Estimator,336,1623,cloud_cpu_1
4866,3.35,33500,start,1,Sensor,671,1622,vehicle_sensor_cpu
4867,3.35,33500,start,2,Estimator,336,1623,cloud_cpu_1
4868,3.3506,33506,finish,1,Sensor,671,1622,vehicle_sensor_cpu
4869,3.3509,33509,finish,2,Estimator,336,1623,cloud_cpu_1
4870,3.355,33550,release,1,Sensor,672,1624,vehicle_sensor_cpu
4871,3.355,33550,start,1,Sensor,672,1624,vehicle_sensor_cpu
4872,3.3556,33556,finish,1,Sensor,672,1624,vehicle_sensor_cpu
4873,3.36,33600,release,1,Sensor,673,1625,vehicle_sensor_cpu
4874,3.36,33600,release,2,Estimator,337,1626,cloud_cpu_1
4875,3.36,33600,release,6,Actuator,113,1627,vehicle_actuator_cpu
4876,3.36,33600,release,3,Controller,169,1628,cloud_cpu_1
4877,3.36,33600,release,4,Feedforward,169,1629,cloud_cpu_1
4878,3.36,33600,release,5,Merger,169,1630,cloud_cpu_1
4879,3.36,33600,start,1,Sensor,673,1625,vehicle_sensor_cpu
4880,3.36,33600,start,2,Estimator,337,1626,cloud_cpu_1
4881,3.36,33600,start,6,Actuator,113,1627,vehicle_actuator_cpu
4882,3.3605,33605,finish,6,Actuator,113,1627,vehicle_actuator_cpu
4883,3.3606,33606,finish,1,Sensor,673,1625,vehicle_sensor_cpu
4884,3.3609,33609,finish,2,Estimator,337,1626,cloud_cpu_1
4885,3.3609,33609,start,3,Controller,169,1628,cloud_cpu_1
4886,3.3612,33612,finish,3,Controller,169,1628,cloud_cpu_1
4887,3.3612,33612,start,4,Feedforward,169,1629,cloud_cpu_1
4888,3.3624,33624,finish,4,Feedforward,169,1629,cloud_cpu_1
4889,3.3624,33624,start,5,Merger,169,1630,cloud_cpu_1
4890,3.3627,33627,finish,5,Merger,169,1630,cloud_cpu_1
4891,3.365,33650,release,1,Sensor,674,1631,vehicle_sensor_cpu
4892,3.365,33650,start,1,Sensor,674,1631,vehicle_sensor_cpu
